hotel_id;seccion;poi
4;¿Qué hay cerca?;"San Ignacio De Loyola
m"
4;¿Qué hay cerca?;"Plaza de Santa Ana
100 m"
4;¿Qué hay cerca?;"Ateneo De Madrid
200 m"
4;¿Qué hay cerca?;"Parroquia De San Sebastián
200 m"
4;¿Qué hay cerca?;"Parroquia Santo Cristo Del Olivar
250 m"
4;¿Qué hay cerca?;"Conv. De Las Trinitarias Descalzas
250 m"
4;¿Qué hay cerca?;"Edificio Plus Ultra
300 m"
4;¿Qué hay cerca?;"Palacio De Miraflores
300 m"
4;¿Qué hay cerca?;"Parroquia El Salvador Y S. Nicolás
350 m"
4;¿Qué hay cerca?;"Maiestas Mariae De La Colección Leva
450 m"
4;Restaurantes y cafeterías;"RestauranteCervecería Alemana
7 m"
4;Restaurantes y cafeterías;"RestauranteMiau
7 m"
4;Restaurantes y cafeterías;"RestauranteMiss Sushi
10 m"
4;Atracciones turísticas destacadas;"Puerta del Sol
500 m"
4;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
550 m"
4;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
700 m"
4;Atracciones turísticas destacadas;"Jardín Botánico de Madrid
800 m"
4;Atracciones turísticas destacadas;"Museo Reina Sofía
900 m"
4;Atracciones turísticas destacadas;"Plaza de Cibeles
1,2 km"
4;Atracciones turísticas destacadas;"Plaza de Oriente
1,3 km"
4;Atracciones turísticas destacadas;"Parque de El Retiro
1,5 km"
4;Atracciones turísticas destacadas;"Templo de Debod
2,1 km"
4;Atracciones turísticas destacadas;"Casa de Campo
2,6 km"
4;Transporte público;"MetroEstación de metro Antón Martín
300 m"
4;Transporte público;"MetroEstación de metro Sevilla
400 m"
4;Transporte público;"TrenEmbajadores
1,3 km"
4;Transporte público;"TrenEstación de tren de Atocha
1,3 km"
4;Transporte público;"AutobúsAlcala - Virgen del Sagrario
5 km"
4;Transporte público;"AutobúsFco. Villaespesa - Ezequiel Solana
5 km"
4;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
13 km"
4;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
22 km"
5;¿Qué hay cerca?;"Real Colegio de la Medicina
200 m"
5;¿Qué hay cerca?;"Parroquia De San Sebastián
250 m"
